"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 31 03:48:50 UTC 2025","Wed Dec 31 03:48:50 UTC 2025","88","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithInvalidCredentials","Verify login is rejected for invalid combinations of email, password, and role",""
"failed","Wed Dec 31 03:48:53 UTC 2025","Wed Dec 31 03:48:53 UTC 2025","77","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginForUnverifiedUser","Verify login is rejected for unverified user",""
"failed","Wed Dec 31 03:48:51 UTC 2025","Wed Dec 31 03:48:51 UTC 2025","87","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithInvalidCredentials","Verify login is rejected for invalid combinations of email, password, and role",""
"failed","Wed Dec 31 03:48:51 UTC 2025","Wed Dec 31 03:48:51 UTC 2025","85","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithInvalidCredentials","Verify login is rejected for invalid combinations of email, password, and role",""
"failed","Wed Dec 31 03:48:53 UTC 2025","Wed Dec 31 03:48:53 UTC 2025","73","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testLoginInvalidFormat","Verify login is rejected for invalid email format",""
"failed","Wed Dec 31 03:48:54 UTC 2025","Wed Dec 31 03:48:54 UTC 2025","82","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testLoginWithVeryLongEmailAndPassword","Verify login user name and password is very long",""
"failed","Wed Dec 31 03:48:51 UTC 2025","Wed Dec 31 03:48:51 UTC 2025","70","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithInvalidCredentials","Verify login is rejected for invalid combinations of email, password, and role",""
"failed","Wed Dec 31 03:48:49 UTC 2025","Wed Dec 31 03:48:50 UTC 2025","133","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testLoginSuccess","Validating the Response data","Validates successful login with valid credentials and verifies response structure including user data and JWT tokens"
"failed","Wed Dec 31 03:48:49 UTC 2025","Wed Dec 31 03:48:49 UTC 2025","118","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.RequestOTPTest","com.weavers.tests.RequestOTPTest","testRequestOTP","Validating the Request OTP data","This test case validates the Request OTP API with valid data"
"failed","Wed Dec 31 03:48:52 UTC 2025","Wed Dec 31 03:48:52 UTC 2025","77","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithMissingEmail","Verify login is rejected for missing email field",""
"failed","Wed Dec 31 03:48:53 UTC 2025","Wed Dec 31 03:48:53 UTC 2025","73","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithMissingEmail","Verify login is rejected for missing email field",""
"passed","Wed Dec 31 03:48:49 UTC 2025","Wed Dec 31 03:48:49 UTC 2025","103","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.RegisterANewUserTest","com.weavers.tests.RegisterANewUserTest","testRegisterANewUser","Validating the Response data","This test case validates the Register A New User API with valid data"
"failed","Wed Dec 31 03:48:50 UTC 2025","Wed Dec 31 03:48:50 UTC 2025","99","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testLoginWithAllData","Test token allows access to protected endpoint",""
"failed","Wed Dec 31 03:48:52 UTC 2025","Wed Dec 31 03:48:52 UTC 2025","81","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithMissingEmail","Verify login is rejected for missing email field",""
"failed","Wed Dec 31 03:48:52 UTC 2025","Wed Dec 31 03:48:52 UTC 2025","69","All Test Suite","C:/Users/Saikat/Downloads/API-Testing-Java-main","com.weavers.tests.LoginTest","com.weavers.tests.LoginTest","testShouldNotAllowLoginWithMissingEmail","Verify login is rejected for missing email field",""
